,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
446,1,2,13.0,0,1,19.5,False,False,True
447,1,1,34.0,0,0,26.55,True,False,True
448,1,3,5.0,2,1,19.2583,False,False,False
449,1,1,52.0,0,0,30.5,True,False,True
450,0,2,36.0,1,2,27.75,True,False,True
451,0,3,30.0,1,0,19.9667,True,False,True
452,0,1,30.0,0,0,27.75,True,False,False
453,1,1,49.0,1,0,89.1042,True,False,False
454,0,3,30.0,0,0,8.05,True,False,True
455,1,3,29.0,0,0,7.8958,True,False,False
456,0,1,65.0,0,0,26.55,True,False,True
457,1,1,30.0,1,0,51.8625,False,False,True
458,1,2,50.0,0,0,10.5,False,False,True
459,0,3,30.0,0,0,7.75,True,True,False
460,1,1,48.0,0,0,26.55,True,False,True
461,0,3,34.0,0,0,8.05,True,False,True
462,0,1,47.0,0,0,38.5,True,False,True
463,0,2,48.0,0,0,13.0,True,False,True
464,0,3,30.0,0,0,8.05,True,False,True
465,0,3,38.0,0,0,7.05,True,False,True
466,0,2,30.0,0,0,0.0,True,False,True
467,0,1,56.0,0,0,26.55,True,False,True
468,0,3,30.0,0,0,7.725,True,True,False
469,1,3,0.75,2,1,19.2583,False,False,False
470,0,3,30.0,0,0,7.25,True,False,True
471,0,3,38.0,0,0,8.6625,True,False,True
472,1,2,33.0,1,2,27.75,False,False,True
473,1,2,23.0,0,0,13.7917,False,False,False
474,0,3,22.0,0,0,9.8375,False,False,True
475,0,1,30.0,0,0,52.0,True,False,True
476,0,2,34.0,1,0,21.0,True,False,True
477,0,3,29.0,1,0,7.0458,True,False,True
478,0,3,22.0,0,0,7.5208,True,False,True
479,1,3,2.0,0,1,12.2875,False,False,True
480,0,3,9.0,5,2,46.9,True,False,True
481,0,2,30.0,0,0,0.0,True,False,True
482,0,3,50.0,0,0,8.05,True,False,True
483,1,3,63.0,0,0,9.5875,False,False,True
484,1,1,25.0,1,0,91.0792,True,False,False
485,0,3,30.0,3,1,25.4667,False,False,True
486,1,1,35.0,1,0,90.0,False,False,True
487,0,1,58.0,0,0,29.7,True,False,False
488,0,3,30.0,0,0,8.05,True,False,True
489,1,3,9.0,1,1,15.9,True,False,True
490,0,3,30.0,1,0,19.9667,True,False,True
491,0,3,21.0,0,0,7.25,True,False,True
492,0,1,55.0,0,0,30.5,True,False,True
493,0,1,71.0,0,0,49.5042,True,False,False
494,0,3,21.0,0,0,8.05,True,False,True
495,0,3,30.0,0,0,14.4583,True,False,False
496,1,1,54.0,1,0,78.2667,False,False,False
497,0,3,30.0,0,0,15.1,True,False,True
498,0,1,25.0,1,2,151.55,False,False,True
499,0,3,24.0,0,0,7.7958,True,False,True
500,0,3,17.0,0,0,8.6625,True,False,True
501,0,3,21.0,0,0,7.75,False,True,False
502,0,3,30.0,0,0,7.6292,False,True,False
503,0,3,37.0,0,0,9.5875,False,False,True
504,1,1,16.0,0,0,86.5,False,False,True
505,0,1,18.0,1,0,108.9,True,False,False
506,1,2,33.0,0,2,26.0,False,False,True
507,1,1,30.0,0,0,26.55,True,False,True
508,0,3,28.0,0,0,22.525,True,False,True
509,1,3,26.0,0,0,56.4958,True,False,True
510,1,3,29.0,0,0,7.75,True,True,False
511,0,3,30.0,0,0,8.05,True,False,True
512,1,1,36.0,0,0,26.2875,True,False,True
513,1,1,54.0,1,0,59.4,False,False,False
514,0,3,24.0,0,0,7.4958,True,False,True
515,0,1,47.0,0,0,34.0208,True,False,True
516,1,2,34.0,0,0,10.5,False,False,True
517,0,3,30.0,0,0,24.15,True,True,False
518,1,2,36.0,1,0,26.0,False,False,True
519,0,3,32.0,0,0,7.8958,True,False,True
520,1,1,30.0,0,0,93.5,False,False,True
521,0,3,22.0,0,0,7.8958,True,False,True
522,0,3,30.0,0,0,7.225,True,False,False
523,1,1,44.0,0,1,57.9792,False,False,False
524,0,3,30.0,0,0,7.2292,True,False,False
525,0,3,40.5,0,0,7.75,True,True,False
526,1,2,50.0,0,0,10.5,False,False,True
527,0,1,30.0,0,0,221.7792,True,False,True
528,0,3,39.0,0,0,7.925,True,False,True
529,0,2,23.0,2,1,11.5,True,False,True
530,1,2,2.0,1,1,26.0,False,False,True
531,0,3,30.0,0,0,7.2292,True,False,False
532,0,3,17.0,1,1,7.2292,True,False,False
533,1,3,30.0,0,2,22.3583,False,False,False
534,0,3,30.0,0,0,8.6625,False,False,True
535,1,2,7.0,0,2,26.25,False,False,True
536,0,1,45.0,0,0,26.55,True,False,True
537,1,1,30.0,0,0,106.425,False,False,False
538,0,3,30.0,0,0,14.5,True,False,True
539,1,1,22.0,0,2,49.5,False,False,False
540,1,1,36.0,0,2,71.0,False,False,True
541,0,3,9.0,4,2,31.275,False,False,True
542,0,3,11.0,4,2,31.275,False,False,True
543,1,2,32.0,1,0,26.0,True,False,True
544,0,1,50.0,1,0,106.425,True,False,False
545,0,1,64.0,0,0,26.0,True,False,True
546,1,2,19.0,1,0,26.0,False,False,True
547,1,2,30.0,0,0,13.8625,True,False,False
548,0,3,33.0,1,1,20.525,True,False,True
549,1,2,8.0,1,1,36.75,True,False,True
550,1,1,17.0,0,2,110.8833,True,False,False
551,0,2,27.0,0,0,26.0,True,False,True
552,0,3,30.0,0,0,7.8292,True,True,False
553,1,3,22.0,0,0,7.225,True,False,False
554,1,3,22.0,0,0,7.775,False,False,True
555,0,1,62.0,0,0,26.55,True,False,True
556,1,1,48.0,1,0,39.6,False,False,False
557,0,1,30.0,0,0,227.525,True,False,False
558,1,1,39.0,1,1,79.65,False,False,True
559,1,3,36.0,1,0,17.4,False,False,True
560,0,3,30.0,0,0,7.75,True,True,False
561,0,3,40.0,0,0,7.8958,True,False,True
562,0,2,28.0,0,0,13.5,True,False,True
563,0,3,30.0,0,0,8.05,True,False,True
564,0,3,30.0,0,0,8.05,False,False,True
565,0,3,24.0,2,0,24.15,True,False,True
566,0,3,19.0,0,0,7.8958,True,False,True
567,0,3,29.0,0,4,21.075,False,False,True
568,0,3,30.0,0,0,7.2292,True,False,False
569,1,3,32.0,0,0,7.8542,True,False,True
570,1,2,62.0,0,0,10.5,True,False,True
571,1,1,53.0,2,0,51.4792,False,False,True
572,1,1,36.0,0,0,26.3875,True,False,True
573,1,3,30.0,0,0,7.75,False,True,False
574,0,3,16.0,0,0,8.05,True,False,True
575,0,3,19.0,0,0,14.5,True,False,True
576,1,2,34.0,0,0,13.0,False,False,True
577,1,1,39.0,1,0,55.9,False,False,True
578,0,3,30.0,1,0,14.4583,False,False,False
579,1,3,32.0,0,0,7.925,True,False,True
580,1,2,25.0,1,1,30.0,False,False,True
581,1,1,39.0,1,1,110.8833,False,False,False
582,0,2,54.0,0,0,26.0,True,False,True
583,0,1,36.0,0,0,40.125,True,False,False
584,0,3,30.0,0,0,8.7125,True,False,False
585,1,1,18.0,0,2,79.65,False,False,True
586,0,2,47.0,0,0,15.0,True,False,True
587,1,1,60.0,1,1,79.2,True,False,False
588,0,3,22.0,0,0,8.05,True,False,True
589,0,3,30.0,0,0,8.05,True,False,True
590,0,3,35.0,0,0,7.125,True,False,True
591,1,1,52.0,1,0,78.2667,False,False,False
592,0,3,47.0,0,0,7.25,True,False,True
593,0,3,30.0,0,2,7.75,False,True,False
594,0,2,37.0,1,0,26.0,True,False,True
595,0,3,36.0,1,1,24.15,True,False,True
596,1,2,30.0,0,0,33.0,False,False,True
597,0,3,49.0,0,0,0.0,True,False,True
598,0,3,30.0,0,0,7.225,True,False,False
599,1,1,49.0,1,0,56.9292,True,False,False
600,1,2,24.0,2,1,27.0,False,False,True
601,0,3,30.0,0,0,7.8958,True,False,True
602,0,1,30.0,0,0,42.4,True,False,True
603,0,3,44.0,0,0,8.05,True,False,True
604,1,1,35.0,0,0,26.55,True,False,False
605,0,3,36.0,1,0,15.55,True,False,True
606,0,3,30.0,0,0,7.8958,True,False,True
607,1,1,27.0,0,0,30.5,True,False,True
608,1,2,22.0,1,2,41.5792,False,False,False
609,1,1,40.0,0,0,153.4625,False,False,True
610,0,3,39.0,1,5,31.275,False,False,True
611,0,3,30.0,0,0,7.05,True,False,True
612,1,3,30.0,1,0,15.5,False,True,False
613,0,3,30.0,0,0,7.75,True,True,False
614,0,3,35.0,0,0,8.05,True,False,True
615,1,2,24.0,1,2,65.0,False,False,True
616,0,3,34.0,1,1,14.4,True,False,True
617,0,3,26.0,1,0,16.1,False,False,True
618,1,2,4.0,2,1,39.0,False,False,True
619,0,2,26.0,0,0,10.5,True,False,True
620,0,3,27.0,1,0,14.4542,True,False,False
621,1,1,42.0,1,0,52.5542,True,False,True
622,1,3,20.0,1,1,15.7417,True,False,False
623,0,3,21.0,0,0,7.8542,True,False,True
624,0,3,21.0,0,0,16.1,True,False,True
625,0,1,61.0,0,0,32.3208,True,False,True
626,0,2,57.0,0,0,12.35,True,True,False
627,1,1,21.0,0,0,77.9583,False,False,True
628,0,3,26.0,0,0,7.8958,True,False,True
629,0,3,30.0,0,0,7.7333,True,True,False
630,1,1,80.0,0,0,30.0,True,False,True
631,0,3,51.0,0,0,7.0542,True,False,True
632,1,1,32.0,0,0,30.5,True,False,False
633,0,1,30.0,0,0,0.0,True,False,True
634,0,3,9.0,3,2,27.9,False,False,True
635,1,2,28.0,0,0,13.0,False,False,True
636,0,3,32.0,0,0,7.925,True,False,True
637,0,2,31.0,1,1,26.25,True,False,True
638,0,3,41.0,0,5,39.6875,False,False,True
639,0,3,30.0,1,0,16.1,True,False,True
640,0,3,20.0,0,0,7.8542,True,False,True
641,1,1,24.0,0,0,69.3,False,False,False
642,0,3,2.0,3,2,27.9,False,False,True
643,1,3,30.0,0,0,56.4958,True,False,True
644,1,3,0.75,2,1,19.2583,False,False,False
645,1,1,48.0,1,0,76.7292,True,False,False
646,0,3,19.0,0,0,7.8958,True,False,True
647,1,1,56.0,0,0,35.5,True,False,False
648,0,3,30.0,0,0,7.55,True,False,True
649,1,3,23.0,0,0,7.55,False,False,True
650,0,3,30.0,0,0,7.8958,True,False,True
651,1,2,18.0,0,1,23.0,False,False,True
652,0,3,21.0,0,0,8.4333,True,False,True
653,1,3,30.0,0,0,7.8292,False,True,False
654,0,3,18.0,0,0,6.75,False,True,False
655,0,2,24.0,2,0,73.5,True,False,True
656,0,3,30.0,0,0,7.8958,True,False,True
657,0,3,32.0,1,1,15.5,False,True,False
658,0,2,23.0,0,0,13.0,True,False,True
659,0,1,58.0,0,2,113.275,True,False,False
660,1,1,50.0,2,0,133.65,True,False,True
661,0,3,40.0,0,0,7.225,True,False,False
662,0,1,47.0,0,0,25.5875,True,False,True
663,0,3,36.0,0,0,7.4958,True,False,True
664,1,3,20.0,1,0,7.925,True,False,True
665,0,2,32.0,2,0,73.5,True,False,True
666,0,2,25.0,0,0,13.0,True,False,True
667,0,3,30.0,0,0,7.775,True,False,True
668,0,3,43.0,0,0,8.05,True,False,True
669,1,1,30.0,1,0,52.0,False,False,True
670,1,2,40.0,1,1,39.0,False,False,True
671,0,1,31.0,1,0,52.0,True,False,True
672,0,2,70.0,0,0,10.5,True,False,True
673,1,2,31.0,0,0,13.0,True,False,True
674,0,2,30.0,0,0,0.0,True,False,True
675,0,3,18.0,0,0,7.775,True,False,True
676,0,3,24.5,0,0,8.05,True,False,True
677,1,3,18.0,0,0,9.8417,False,False,True
678,0,3,43.0,1,6,46.9,False,False,True
679,1,1,36.0,0,1,512.3292,True,False,False
680,0,3,30.0,0,0,8.1375,False,True,False
681,1,1,27.0,0,0,76.7292,True,False,False
682,0,3,20.0,0,0,9.225,True,False,True
683,0,3,14.0,5,2,46.9,True,False,True
684,0,2,60.0,1,1,39.0,True,False,True
685,0,2,25.0,1,2,41.5792,True,False,False
686,0,3,14.0,4,1,39.6875,True,False,True
687,0,3,19.0,0,0,10.1708,True,False,True
688,0,3,18.0,0,0,7.7958,True,False,True
689,1,1,15.0,0,1,211.3375,False,False,True
690,1,1,31.0,1,0,57.0,True,False,True
691,1,3,4.0,0,1,13.4167,False,False,False
692,1,3,30.0,0,0,56.4958,True,False,True
693,0,3,25.0,0,0,7.225,True,False,False
694,0,1,60.0,0,0,26.55,True,False,True
695,0,2,52.0,0,0,13.5,True,False,True
696,0,3,44.0,0,0,8.05,True,False,True
697,1,3,30.0,0,0,7.7333,False,True,False
698,0,1,49.0,1,1,110.8833,True,False,False
699,0,3,42.0,0,0,7.65,True,False,True
700,1,1,18.0,1,0,227.525,False,False,False
701,1,1,35.0,0,0,26.2875,True,False,True
702,0,3,18.0,0,1,14.4542,False,False,False
703,0,3,25.0,0,0,7.7417,True,True,False
704,0,3,26.0,1,0,7.8542,True,False,True
705,0,2,39.0,0,0,26.0,True,False,True
706,1,2,45.0,0,0,13.5,False,False,True
707,1,1,42.0,0,0,26.2875,True,False,True
708,1,1,22.0,0,0,151.55,False,False,True
709,1,3,30.0,1,1,15.2458,True,False,False
710,1,1,24.0,0,0,49.5042,False,False,False
711,0,1,30.0,0,0,26.55,True,False,True
712,1,1,48.0,1,0,52.0,True,False,True
713,0,3,29.0,0,0,9.4833,True,False,True
714,0,2,52.0,0,0,13.0,True,False,True
715,0,3,19.0,0,0,7.65,True,False,True
716,1,1,38.0,0,0,227.525,False,False,False
717,1,2,27.0,0,0,10.5,False,False,True
718,0,3,30.0,0,0,15.5,True,True,False
719,0,3,33.0,0,0,7.775,True,False,True
720,1,2,6.0,0,1,33.0,False,False,True
721,0,3,17.0,1,0,7.0542,True,False,True
722,0,2,34.0,0,0,13.0,True,False,True
723,0,2,50.0,0,0,13.0,True,False,True
724,1,1,27.0,1,0,53.1,True,False,True
725,0,3,20.0,0,0,8.6625,True,False,True
726,1,2,30.0,3,0,21.0,False,False,True
727,1,3,30.0,0,0,7.7375,False,True,False
728,0,2,25.0,1,0,26.0,True,False,True
729,0,3,25.0,1,0,7.925,False,False,True
730,1,1,29.0,0,0,211.3375,False,False,True
731,0,3,11.0,0,0,18.7875,True,False,False
732,0,2,30.0,0,0,0.0,True,False,True
733,0,2,23.0,0,0,13.0,True,False,True
734,0,2,23.0,0,0,13.0,True,False,True
735,0,3,28.5,0,0,16.1,True,False,True
736,0,3,48.0,1,3,34.375,False,False,True
737,1,1,35.0,0,0,512.3292,True,False,False
738,0,3,30.0,0,0,7.8958,True,False,True
739,0,3,30.0,0,0,7.8958,True,False,True
740,1,1,30.0,0,0,30.0,True,False,True
741,0,1,36.0,1,0,78.85,True,False,True
742,1,1,21.0,2,2,262.375,False,False,False
743,0,3,24.0,1,0,16.1,True,False,True
744,1,3,31.0,0,0,7.925,True,False,True
745,0,1,70.0,1,1,71.0,True,False,True
746,0,3,16.0,1,1,20.25,True,False,True
747,1,2,30.0,0,0,13.0,False,False,True
748,0,1,19.0,1,0,53.1,True,False,True
749,0,3,31.0,0,0,7.75,True,True,False
750,1,2,4.0,1,1,23.0,False,False,True
751,1,3,6.0,0,1,12.475,True,False,True
752,0,3,33.0,0,0,9.5,True,False,True
753,0,3,23.0,0,0,7.8958,True,False,True
754,1,2,48.0,1,2,65.0,False,False,True
755,1,2,0.67,1,1,14.5,True,False,True
756,0,3,28.0,0,0,7.7958,True,False,True
757,0,2,18.0,0,0,11.5,True,False,True
758,0,3,34.0,0,0,8.05,True,False,True
759,1,1,33.0,0,0,86.5,False,False,True
760,0,3,30.0,0,0,14.5,True,False,True
761,0,3,41.0,0,0,7.125,True,False,True
762,1,3,20.0,0,0,7.2292,True,False,False
763,1,1,36.0,1,2,120.0,False,False,True
764,0,3,16.0,0,0,7.775,True,False,True
765,1,1,51.0,1,0,77.9583,False,False,True
766,0,1,30.0,0,0,39.6,True,False,False
767,0,3,30.5,0,0,7.75,False,True,False
768,0,3,30.0,1,0,24.15,True,True,False
769,0,3,32.0,0,0,8.3625,True,False,True
770,0,3,24.0,0,0,9.5,True,False,True
771,0,3,48.0,0,0,7.8542,True,False,True
772,0,2,57.0,0,0,10.5,False,False,True
773,0,3,30.0,0,0,7.225,True,False,False
774,1,2,54.0,1,3,23.0,False,False,True
775,0,3,18.0,0,0,7.75,True,False,True
776,0,3,30.0,0,0,7.75,True,True,False
777,1,3,5.0,0,0,12.475,False,False,True
778,0,3,30.0,0,0,7.7375,True,True,False
779,1,1,43.0,0,1,211.3375,False,False,True
780,1,3,13.0,0,0,7.2292,False,False,False
781,1,1,17.0,1,0,57.0,False,False,True
782,0,1,29.0,0,0,30.0,True,False,True
783,0,3,30.0,1,2,23.45,True,False,True
784,0,3,25.0,0,0,7.05,True,False,True
785,0,3,25.0,0,0,7.25,True,False,True
786,1,3,18.0,0,0,7.4958,False,False,True
787,0,3,8.0,4,1,29.125,True,True,False
788,1,3,1.0,1,2,20.575,True,False,True
789,0,1,46.0,0,0,79.2,True,False,False
790,0,3,30.0,0,0,7.75,True,True,False
791,0,2,16.0,0,0,26.0,True,False,True
792,0,3,30.0,8,2,69.55,False,False,True
793,0,1,30.0,0,0,30.6958,True,False,False
794,0,3,25.0,0,0,7.8958,True,False,True
795,0,2,39.0,0,0,13.0,True,False,True
796,1,1,49.0,0,0,25.9292,False,False,True
797,1,3,31.0,0,0,8.6833,False,False,True
798,0,3,30.0,0,0,7.2292,True,False,False
799,0,3,30.0,1,1,24.15,False,False,True
800,0,2,34.0,0,0,13.0,True,False,True
801,1,2,31.0,1,1,26.25,False,False,True
802,1,1,11.0,1,2,120.0,True,False,True
803,1,3,0.42,0,1,8.5167,True,False,False
804,1,3,27.0,0,0,6.975,True,False,True
805,0,3,31.0,0,0,7.775,True,False,True
806,0,1,39.0,0,0,0.0,True,False,True
807,0,3,18.0,0,0,7.775,False,False,True
808,0,2,39.0,0,0,13.0,True,False,True
809,1,1,33.0,1,0,53.1,False,False,True
810,0,3,26.0,0,0,7.8875,True,False,True
811,0,3,39.0,0,0,24.15,True,False,True
812,0,2,35.0,0,0,10.5,True,False,True
813,0,3,6.0,4,2,31.275,False,False,True
814,0,3,30.5,0,0,8.05,True,False,True
815,0,1,30.0,0,0,0.0,True,False,True
816,0,3,23.0,0,0,7.925,False,False,True
817,0,2,31.0,1,1,37.0042,True,False,False
818,0,3,43.0,0,0,6.45,True,False,True
819,0,3,10.0,3,2,27.9,True,False,True
820,1,1,52.0,1,1,93.5,False,False,True
821,1,3,27.0,0,0,8.6625,True,False,True
822,0,1,38.0,0,0,0.0,True,False,True
823,1,3,27.0,0,1,12.475,False,False,True
824,0,3,2.0,4,1,39.6875,True,False,True
825,0,3,30.0,0,0,6.95,True,True,False
826,0,3,30.0,0,0,56.4958,True,False,True
827,1,2,1.0,0,2,37.0042,True,False,False
828,1,3,30.0,0,0,7.75,True,True,False
829,1,1,62.0,0,0,80.0,False,False,True
830,1,3,15.0,1,0,14.4542,False,False,False
831,1,2,0.83,1,1,18.75,True,False,True
832,0,3,30.0,0,0,7.2292,True,False,False
833,0,3,23.0,0,0,7.8542,True,False,True
834,0,3,18.0,0,0,8.3,True,False,True
835,1,1,39.0,1,1,83.1583,False,False,False
836,0,3,21.0,0,0,8.6625,True,False,True
837,0,3,30.0,0,0,8.05,True,False,True
838,1,3,32.0,0,0,56.4958,True,False,True
839,1,1,30.0,0,0,29.7,True,False,False
840,0,3,20.0,0,0,7.925,True,False,True
841,0,2,16.0,0,0,10.5,True,False,True
842,1,1,30.0,0,0,31.0,False,False,False
843,0,3,34.5,0,0,6.4375,True,False,False
844,0,3,17.0,0,0,8.6625,True,False,True
845,0,3,42.0,0,0,7.55,True,False,True
846,0,3,30.0,8,2,69.55,True,False,True
847,0,3,35.0,0,0,7.8958,True,False,False
848,0,2,28.0,0,1,33.0,True,False,True
849,1,1,30.0,1,0,89.1042,False,False,False
850,0,3,4.0,4,2,31.275,True,False,True
851,0,3,74.0,0,0,7.775,True,False,True
852,0,3,9.0,1,1,15.2458,False,False,False
853,1,1,16.0,0,1,39.4,False,False,True
854,0,2,44.0,1,0,26.0,False,False,True
855,1,3,18.0,0,1,9.35,False,False,True
856,1,1,45.0,1,1,164.8667,False,False,True
857,1,1,51.0,0,0,26.55,True,False,True
858,1,3,24.0,0,3,19.2583,False,False,False
859,0,3,30.0,0,0,7.2292,True,False,False
860,0,3,41.0,2,0,14.1083,True,False,True
861,0,2,21.0,1,0,11.5,True,False,True
862,1,1,48.0,0,0,25.9292,False,False,True
863,0,3,30.0,8,2,69.55,False,False,True
864,0,2,24.0,0,0,13.0,True,False,True
865,1,2,42.0,0,0,13.0,False,False,True
866,1,2,27.0,1,0,13.8583,False,False,False
867,0,1,31.0,0,0,50.4958,True,False,True
868,0,3,30.0,0,0,9.5,True,False,True
869,1,3,4.0,1,1,11.1333,True,False,True
870,0,3,26.0,0,0,7.8958,True,False,True
871,1,1,47.0,1,1,52.5542,False,False,True
872,0,1,33.0,0,0,5.0,True,False,True
873,0,3,47.0,0,0,9.0,True,False,True
874,1,2,28.0,1,0,24.0,False,False,False
875,1,3,15.0,0,0,7.225,False,False,False
876,0,3,20.0,0,0,9.8458,True,False,True
877,0,3,19.0,0,0,7.8958,True,False,True
878,0,3,30.0,0,0,7.8958,True,False,True
879,1,1,56.0,0,1,83.1583,False,False,False
880,1,2,25.0,0,1,26.0,False,False,True
881,0,3,33.0,0,0,7.8958,True,False,True
882,0,3,22.0,0,0,10.5167,False,False,True
883,0,2,28.0,0,0,10.5,True,False,True
884,0,3,25.0,0,0,7.05,True,False,True
885,0,3,39.0,0,5,29.125,False,True,False
886,0,2,27.0,0,0,13.0,True,False,True
887,1,1,19.0,0,0,30.0,False,False,True
888,0,3,30.0,1,2,23.45,False,False,True
889,1,1,26.0,0,0,30.0,True,False,False
890,0,3,32.0,0,0,7.75,True,True,False
